subject,content,level,sort,tag,category,sort,question,option1,option2,option3,option4,result
"＿＿＿のことばはどうよみますか。１２３４からいちばんいいものをひとつえらびなさい。","自分で旅行を計画するのは楽しいです。","N3","1",",1991,vocabulary,","","1","自分    ","１．じぶん    ","２．ちっぷん    ","３．じっぷん    ","４．ちぶん  ","A"
"","","","","","","2","旅行    ","１．りゅうこ    ","２．りょうこ    ","３．りょこう    ","４．りゅこう  ","C"
"","","","","","","3","計画    ","１．けいかく    ","２．けいが    ","３．けかく    ","４．けが  ","A"
"","","","","","","4","楽しい    ","１．うれしい    ","２．いそがしい    ","３．うつくしい    ","４．たのしい  ","D"
"","その学生は毎日地下鉄で大学に通っています。","N3","2",",1991,vocabulary,","","1","地下鉄    ","１．じげてつ    ","２．じかてつ    ","３．ちげてつ    ","４．ちかてつ  ","D"
"","","","","","","2","通って    ","１．とおって    ","２．かよって    ","３．かえって    ","４．いって  ","B"
"","姉がいつも食事の用意をしてくれます。","N3","3",",1991,vocabulary,","","1","姉    ","１．いもうと    ","２．おとうと    ","３．あね    ","４．あに  ","C"
"","","","","","","2","食事    ","１．しょくじ    ","２．しょうじ    ","３．そくじ    ","４．そうじ  ","A"
"","","","","","","3","用意    ","１．よい    ","２．ようい    ","３．よじ    ","４．ようじ  ","B"
"","電話代は夜の間と日曜日が安いです。","N3","4",",1991,vocabulary,","","1","電話代    ","１．でんわちん    ","２．でんわきん    ","３．でんわだい","４．でんわりょう  ","C"
"","","","","","","2","夜    ","１．ひる    ","２．よる    ","３．あさ    ","４．ばん  ","B"
"","","","","","","3","間    ","１．うち    ","２．ま    ","３．かん    ","４．あいだ  ","D"
"","","","","","","4","安い    ","１．あまい    ","２．うまい    ","３．ちかい    ","４．やすい  ","D"
"","この町の人口は去年より多くなりました。","N3","5",",1991,vocabulary,","","1","町    ","１．むら    ","２．まち    ","３．とし    ","４．へん  ","B"
"","","","","","","2","人口    ","１．じんこう    ","２．にんこう    ","３．にんごう    ","４．じんごう  ","A"
"","","","","","","3","去年    ","１．きょうねん    ","２．さくねん    ","３．さっねん    ","４．きょねん  ","D"
"","","","","","","4","多く    ","１．おそく    ","２．おもく    ","３．おおきく    ","４．おおく  ","D"
"","その店の主人はいつも着物を着ています。","N3","6",",1991,vocabulary,","","1","店    ","１．てん    ","２．こや    ","３．みせ    ","４．うち  ","C"
"","","","","","","2","主人    ","１．しゅじん    ","２．しゅうじん    ","３．しゅにん    ","４．しゅうにん  ","A"
"","","","","","","3","着物    ","１．おきもの    ","２．きもの","３．はきもの    ","４．かきもの  ","B"
"_______のことばは漢字をつかってどう書きますか。1・2・3・4からいちばんいいものを一つえらびなさい。 ","このへやはあかるくて ひろいので、しごとがしやすいです。","N3","7",",1991,vocabulary,","","1","へや    ","１．部屋    ","２．部室    ","３．戸屋    ","４．戸室  ","A"
"","","","","","","2","あかるくて    ","１．明るくて    ","２．早るくて    ","３．赤るくて    ","４．軽るくて  ","A"
"","","","","","","3","ひろい    ","１．青い    ","２．白い    ","３．広い    ","４．長い  ","C"
"","","","","","","4","しごと    ","１．作業    ","２．仕業    ","３．作事    ","４．仕事  ","D"
""," えきのばいてんでしんぶんをかいました。電車のせきがあいていなかったのでたったままよみました。","N3","8",",1991,vocabulary,","","1","えき    ","１．駅    ","２．験    ","３．駐    ","４．駆  ","A"
"","","","","","","2","ばいてん    ","１．買店    ","２．売店    ","３．購店    ","４．飯店  ","B"
"","","","","","","3","せき    ","１．度    ","２．座    ","３．庄    ","４．席  ","D"
"","","","","","","4","あいて    ","１．開いて    ","２．空いて    ","３．空いて    ","４．合いて  ","B"
"","","","","","","5","たった    ","１．足った    ","２．発った    ","３．立った    ","４．建った  ","C"
""," 音楽会は7時にはじまります。きゅうこう電車でいかなくてもまにあいますよ。","N3","9",",1991,vocabulary,","","1","はじまり    ","１．開まり    ","２．発まり    ","３．初まり    ","４．始まり  ","D"
"","","","","","","2","きゅうこう    ","１．早急    ","２．救急    ","３．急行    ","４．急走  ","C"
"","","","","","","3","まにあい    ","１．真に合い    ","２．間に合い    ","３．間に会い    ","４．真に会い  ","B"
"","毎日漢字を15ずつならいます。こくばんの字をちゅういしながらノートにうつします。","N3","10",",1991,vocabulary,","","1","ならい    ","１．習い    ","２．学い    ","３．慣い    ","４．覚い  ","A"
"","","","","","","2","ちゅうい    ","１．集合    ","２．集中    ","３．注意    ","４．注目  ","C"
"","","","","","","3","うつし    ","１．映し    ","２．写し    ","３．移し    ","４．画し  ","B"
"________のところに何を入れますか。1・2・3・4からいちばんいいものを一つえらびなさい。","","N3","11",",1991,vocabulary,","","1","シャツのうりばは、このうえの３がいです。あの_______でいってください。","１．ドア    ","２．タクシー    ","３．サンダル    ","４．エスカレーター  ","D"
"","","","","","","2","じゅぎょうがおわってから、まいにち、ピンポンの_______をします。","１．しゅみ    ","２．うんどう    ","３．れんしゅう    ","４．しゅうかん  ","C"
"","","","","","","3","私はじてんしゃを_______もっています。","１．にだい    ","２．にさい    ","３．にほん    ","４．にまい  ","A"
"","","","","","","4","このみずうみの_______はどのくらいですか。","１．ふかさ    ","２．あつさ    ","３．さむさ    ","４．おもさ  ","A"
"","","","","","","5","きょうしつのかべにきれいなえが_______あります。","１．のせて    ","２．かけて    ","３．おいて    ","４．つけて  ","B"
"","","","","","","6","だれでもテストを_______のはすきではありません。","１．とる    ","２．もつ    ","３．うける    ","４．ひろう  ","C"
"","","","","","","7","あつかったら、どうぞうわぎを_______ください。","１．はずして    ","２．むいて    ","３．すてて    ","４．ぬいで  ","D"
"","","","","","","8","がくせいたちはきょうしつでやまだせんせいににほんごを_______います。","１．ならって    ","２．つくって    ","３．おぼえて    ","４．べんきょうして  ","A"
"","","","","","","9","私は山田さんににもつをもって_______。","１．あげました    ","２．もらいました    ","３．くれました    ","４．やりました  ","B"
"","","","","","","10","いそがないで、_______やってください。","１．はっきり    ","２．うっかり    ","３．ゆっくり    ","４．すっかり  ","C"
"つぎの_______の文とだいたい同じいみの文はどれですか。1・2・3・4からいちばんいいものを一つえらびなさい。","","N3","12",",1991,vocabulary,","","1","山田さんのおじょうさんはなんさいですか。","     １．山田さんのむすこさんはなんさいですか。","     ２．山田さんのむすめさんはなんさいですか。","     ３．山田さんのおにいさんはなんさいですか。","     ４．山田さんのおねえさんはなんさいですか。","B"
"","","","","","","2","私はきのうコンサートにいきました。","     １．私はきのうがいこくのえいがをみにいきました。","     ２．私はきのうかいものにいきました。","     ３．私はきのうおんがくをききにいきました。","     ４．私はきのうこうえんへえをかきにいきました。","C"
"","","","","","","3","私はきのうとこやへいきました。","     １．私はきのうかみをきってもらいにいきました","     ２．私はきのうびょうきをなおしてもらいにいきました。","     ３．私はきのうシャツやズボンをあらってもらいにいきました。","     ４．私はきのうくるまのうんてんをおしえてもらいにいきました。","A"
"","","","","","","4","へやのでんきをつけました。","     １．へやをあたたかくしました。","     ２．へやをすずしくしました。","     ３．へやをあかるくしました。","     ４．へやをくらくしました。","C"
"","","","","","","5","これはだいじなものです。","     １．これはりっぱなものです。","     ２．これはたいせつなものです。","     ３．これはじょうぶなものです。","     ４．これはふるいものです。","B"
"","","","","","","6","がくせいがきょうしつに「のこっています」。","     １．がくせいはまだだれもきょうしつへきていません。","     ２．がくせいはもうみんなきょうしつへきています。","     ３．きょうしつには、がくせいはもうだれもいません。","     ４．きょうしつには、がくせいがまだいます。","D"
"","","","","","","7","山田さんはゆうべなくなったそうです。","     １．山田さんはゆうべおかねをなくしたそうです。","     ２．山田さんはゆうべどこかへいったそうです。","     ３．山田さんはゆうべくにへかえったそうです。","     ４．山田さんはゆうべしんだそうです。","D"
"","","","","","","8","どうぞ、なんでもおっしゃってください。","     １．どうぞ、なんでもつかってください。","     ２．どうぞ、なんでもいってください。","     ３．どうぞ、なんでもたべてください。","     ４．どうぞ、なんでもみてください。","B"
"","","","","","","9","私はおもいびょうきをして、りょうしんにしんぱいをかけました。","     １．私がびょうきになったので、りょうしんはしんぱいしました。","     ２．りょうしんがびょうきになったので、私はしんぱいしました。","     ３．私がびょうきにならないように、りょうしんはいろいろとしんぱいをしています。","     ４．りょうしんがびょうきにならないように、私はいろいろとしんぱいをしています。","A"
"","","","","","","10","しごとをしながらわたしのはなしをきいてください。","     １．しごとをしないで、わたしのはなしをきいてください。","     ２．しごとをしてから、わたしのはなしをきいてください。","     ３．しごとをやめて、わたしのはなしをきいてください。","     ４．しごとをやめないで、わたしのはなしをきいてください。","D"
"______の ところに 何を いれますか 。１、２、３、４ から いちばん いい ものを 一つ えらびなさい 。","","N3","13",",1991,grammar,","","1","  一週間______2かいぐらいテニスをします。","１．が    ","２．も    ","３．と    ","４．に  ","D"
"","","","","","","2","  りんごとバナナとではどちら______すきですか。","１．で    ","２．が    ","３．は    ","４．と  ","B"
"","","","","","","3","  テレビの音______聞こえます。","１．を    ","２．に    ","３．が    ","４．で  ","C"
"","","","","","","4","  兄はわたし______えいがにつれて行ってくれました。","１．と    ","２．に    ","３．が    ","４．を  ","D"
"","","","","","","5","  この字はだれが書いた______わかりますか。","１．か    ","２．を    ","３．が    ","４．と  ","A"
"","","","","","","6","  どんなこと______きいてください。お答えします。","１．でも    ","２．とか    ","３．から    ","４．まで  ","A"
"","","","","","","7","  今年のなつは、去年のなつ______あつくありませんでしたね。","１．でも    ","２．しか    ","３．ほど    ","４．ごろ  ","C"
"","","","","","","8","  このごろはじょうぶになったから、何______食べてもおいしいです。","１．も    ","２．に    ","３．を    ","４．が  ","C"
"","","","","","","9","  その花はだれ______もらいましたか。","１．で    ","２．を    ","３．の    ","４．に  ","D"
"","","","","","","10","  もう５時です。今から______６時の電車にまにあうでしょうか。","１．での    ","２．までも    ","３．とも    ","４．にも  ","A"
"","","","","","","11","  あしたは９時______この教室に来てください。","１．での    ","２．までも    ","３．とも    ","４．にも  ","B"
"","","","","","","12","  先生の話は知っていること______で、おもしろくなかったです。","１．しか    ","２．ばかり    ","３．ほど    ","４．より  ","B"
"","","","","","","13","  きのう友だちが来た______、べんきょうができませんでした。","１．でも    ","２．だから    ","３．ので    ","４．ように  ","C"
"","","","","","","14","  たくさんさとうを入れた______、まだあまくありません。","１．ばかり    ","２．とか    ","３．から    ","４．のに  ","D"
"","","","","","","15","  友だちにかさをかりた______、かえすのをわすれていました。","１．あいだ    ","２．まま    ","３．だけ    ","４．ながら  ","B"
"______の ところに 何を いれますか。１、２、３、４から いちばん いい ものを 一つ えらびなさい。","","N3","14",",1991,grammar,","","1","  これはあした母に______しゃしんです。","１．のま    ","２．のみ    ","３．のむ    ","４．のめ  ","A"
"","","","","","","2","  日本では______とき、「さようなら」と言います。","１．かえる    ","２．かえって    ","３．かえった    ","４．かえっていた  ","A"
"","","","","","","3","  おばあさんのにもつを______あげたら、おばあさんはとてもよろこびました。","１．もった    ","２．もって    ","３．もとう    ","４．もつと  ","B"
"","","","","","","4","  あの人はほんとうに　　のですか。","１．学生    ","２．学生だ    ","３．学生な    ","４．学生と  ","C"
"","","","","","","5","  子どもたちにものをたいせつにする______いつも言っています。","１．ことが    ","２．ことに    ","３．ような    ","４．ように  ","D"
"","","","","","","6","  子供はまだ3さいです。山の上まで______のはむりでしょう。","１．歩ける    ","２．歩かれる    ","３．歩かせる    ","４．歩いた  ","C"
"","","","","","","7","  ______そうなレストランだったので、入りませんでした。","１．たかい    ","２．たか    ","３．たかく    ","４．たかくて  ","B"
"","","","","","","8","  私は子どものときけがをして入院______ことがあります。","１．する    ","２．しない    ","３．して    ","４．した  ","D"
"","","","","","","9","  けさ、６時ごろから雨が______始めました。","１．ふる    ","２．ふり    ","３．ふって    ","４．ふったり  ","B"
"","","","","","","10","  もし、ことばの意味が______、先生にしつもんしてください。","１． わからなかったら","２．わからなくて    ","３．わからないと    ","４．わからないで  ","A"
"______の ところに 何を 入れますか。１、２、３、４から いちばん いい ものを 一つ えらびなさい。","","N3","15",",1991,grammar,","","1","  「あの小さい字が______か。」<br>「はい、(にほん)と書いてあります。」","１．見えます    ","２．見せます    ","３．見ます    ","４．見ています  ","A"
"","","","","","","2","  学生「私はかぜをひいてしまいました。あしたじゅぎょうを______ください。」<br>先生「はい、どうぞ。ゆっくり休んでください。」","１．休まれて    ","２．休ませて    ","３．休んで    ","４．休んでみて  ","B"
"","","","","","","3","  かとう「あしたはサッカーのしあいです。もし雨が______しあいをします。がんばってください。」　<br>みんな「はい、がんばります。｣　","１．ふるのに    ","２．ふるので    ","３．ふって    ","４．ふっても  ","D"
"","","","","","","4","  「このスープちょっとからくないですか。」<br>「そうですか。ちょっとのんでみましょう。うーん、ちょっと______ですね。」","１．からいよう    ","２．からいらしい    ","３．からいため    ","４．からいそう  ","A"
"","","","","","","5","  ドアを開けて、「ごめんください。」と言いました。<br>______、ねこが3びき出てきました。","１．では    ","２．だから    ","３．すると    ","４．それなのに  ","C"
"ヤンさんと田中さんが話しています。　　のところにどんなことばを入れたらいいですか。答えは１、２、３、４からいちばんいいものを一つえらびなさい。","田中：「ヤンさん、いつも本を読んでいますが、何かしけんを（ 1 ）べんきょうしているんですか。」<br>ヤン：「いいえ、これはわたしのしゅみなんです。子どものときからりょうしんがたくさん本を買って（ 2 ）ので、すきになりました。｣<br>田中：「どんな本をよく読みますか。」<br>ヤン：「れきしの本や科学の本がとくにすきです。おもしろくて、しょくじの時間をわすれて（ 3 ）こともあります。」<br>田中：「それに、本はわたしたちにいろいろなことを（ 4 ）くれますね。」<br>ヤン：「これからも本をたくさん読んで（ 5 ）と思っています。」","N3","16",",1991,reading,","","1","（ 1 ）","１．うけるように    ","２．うけさせるために    ","３．うけるために    ","４．うけさせるように  ","C"
"","","","","","","2","（ 2 ）","１．いただいた    ","２．くれた    ","３．さしあげた    ","４．あげた  ","B"
"","","","","","","3","（ 3 ）","１．いく    ","２．くる    ","３．しまう    ","４．おく  ","C"
"","","","","","","4","（ 4 ）","１．かんがえて    ","２．かんがえられて    ","３．かんがえさせて    ","４．かんがえさせられて  ","C"
"","","","","","","5","（ 5 ）","１．いく    ","２．いこう    ","３．くる    ","４．きて  ","B"
"","ヤン：「今日のかいぎは何人ぐらいあつまるか知っていますか。」<br>田中：「いいえ、よくは（ 6 ）。」<br>ヤン：「そうですか。今日は小川先生が（ 7 ）と聞きましたよ。」<br>田中：「わたしも小川に（ 8 ）聞いて、楽しみにして来たんです。」<br>ヤン：「今夜は帰りがおそく（ 9 ）だけど、だいじょうぶですか。」<br>田中：「ええ、けさかぞくには（ 10 ）から、だいじょうぶです。」","N3","17",",1991,reading,","","1","（ 6 ）","１．知りません    ","２．知ってありません    ","３．知っています    ","４．知らないでいます  ","A"
"","","","","","","2","（ 7 ）","１．まいる    ","２．めしあがる    ","３．うかがう    ","４．いらっしゃる  ","D"
"","","","","","","3","（ 8 ）","１．なりそう    ","２．なるような    ","３．なりそうな    ","４．なるだろう  ","D"
"","","","","","","4","（ 9 ）","１．    ","２．    ","３．    ","４．  ","A"
"","","","","","","5","（ 10 ）","１．言うつもりだ    ","２．言っておいた    ","３．言わないでいる    ","４．言おうと思った  ","B"
"つぎの 文を 読んで、質問に 答えなさい。答えは１、２、３、４から いちばん いい ものを 一つ えらびなさい。","伝言板 　<br>月日 　　9月16日<br>時間 18：00<br>伝言 かとうさんとすずきさんへ <br>　 さきに行って、きっさてんでまっています。<br>　　　　　　　　　　　　　 ヤンより","N3","18",",1991,reading,","","1","まっているのはだれですか。","１．すずきさんです    ","２．かとうさんです    "," ３．ヤンさんです    ","４．すずきさんとかとうさんです ","C"
"","リー：「電気をけしましょうか。」<br>田中：「ラジャさんが来ますから、そのままにしておきましょう。」<br>リー：「はい、そうします。」","N3","19",",1991,reading,","","2","リーさんはどうしますか。","１．電気をけしません。","２．電気をけします。","３．電気をつけます。","４．電気をつけません。","A"
"","田中：「リーさんはどんなところへ行きたいですか。」<br>リー：「そうですね。リンさんは京都のような町へ行きたいって言っていましたけど、わたしはしずかな山の中ですね。」","N3","20",",1991,reading,","","3","リーさんはどんなところへ行きたいと言っていますか。","１．リーさんはリンさんと山へ行きたいと言っています。    ","２．リーさんはしずかな山へ行きたいと言っています。    ","３．リーさんはしずかな京都へ行きたいと言っています。    ","４．リーさんは田中さんと京都へ行きたいと言っています。","B"
"","工場見学のおしらせ<br>あしたは11時から自動車工場の見学です。学校を10時に出発できるよう10分前にあつまってください。あつまる場所は南門です。","N3","21",",1991,reading,","","4"," あつまる時間と場所はつぎのどれですか。    ","１．学校の南門に、10時10分です。    ","２．工場の南門に、10時10分です。    ","３．学校の南門に、9時50分です。    ","４．工場の南門に、9時50分です。","C"
"","山川　「あ、もう11時。すぐ帰らなくちゃ。」<br>ヤン　「もう帰るんですか。あしたは日曜日で、休みでしょ。<br>山川　「でも電車がなくなりますから。」","N3","22",",1991,reading,","","5"," この会話では、山川さんはこれからどうするつもりですか。    ","１．電車で帰ります。    ","２．まで帰りません。    ","３．タクシーで帰ります。    ","４．今日は帰りません。","A"
"","きのう母をおくりにくうこうへ行った。デッキで母がのったひこうきがとんでいくのをじっと見ていたら、国へ帰りたくなった。","N3","23",",1991,reading,","","6"," この文からわかることはつぎのどれですか。     ","１．きのうこの人はおかあさんと国へ帰った。     ","２．きのうこの人のおかあさんはくうこうへこの人をおくりに来た。     ","３．きのうこの人とおかあさんはくうこうへひこうきを見に行った。     ","４．きのうこの人のおかあさんは国へ帰った。","D"
"つぎのぶんしょうは山田さんがヤンさんに出した手紙です。これを読んで後のしつもんに答えなさい。答えは１、２、３、４からいちばんいいものを一つえらびなさい。","ヤンさん、9月10日のお手紙、今日着きました。毎月月はじめに着くお手紙が今月は10日をすぎても来ません。それで、日本語のべんきょうがいそがしいのか、病気をしたのかとむすめと話をしていました。 <br>　お手紙を読んでほんとうにびっくりしました。じこの後、すぐに病院でよくしらべたそうですが、ほんとうにもうだいじょぶなのですか。9月22日にはしごとで東京へ行きます。その後であなたのアパートへ行きたいと思います。じこのこと、けがのようす、その後のことをもっと知りたいと思います。電話ではよくわかりませんでしたからね。そして、あなたの元気なかおが見たいです。ですから、その日のつごうはどうか、電話で知らせてください。夜ならいつでも家にいますから。 <br>　とにかく、雨の日にかさをさして、自動車にのることはもう二度としないでくださいね。では、22日に会いましょう。おだいじに。 <br>　　　9月12日 <br>京都市　山田よし子","N3","24",",1991,reading,","","7","  ヤンさんの手紙はいつ着きましたか。     ","１．9月1日     ","２．9月10日     ","３．9月12日     ","４．9月22日","C"
"","","","","","","8"," ヤンさんの手紙がおそくなったのはどうしてですか。     ","１．ヤンさんがじこでけがをしたからです。     ","２．ヤンさんがべんきょうでいそがしかったからです。     ","３．ヤンさんが病気だったからです。     ","４．ヤンさんがしごとで東京に行っていたからです。","A"
"","","","","","","9"," ヤンさんはこの手紙を読んで、何をしますか。     ","１．山田さんに手紙を書きます。     ","２．山田さんの電話をまちます。     ","３．山田さんの手紙をまちます。     ","４．山田さんに電話をかけます。","D"